outlet_id,city,tier,archetype,outlet_type,zone,outlet_age_months,total_revenue_18m,avg_monthly_revenue,avg_monthly_orders,avg_order_value,avg_net_margin_pct,avg_contribution_pct,avg_food_cost_pct,avg_rating,avg_complaint_rate,avg_repeat_pct,avg_waste_rate,avg_upsell_rate,avg_staff_turnover,total_manager_changes,avg_training_hours,last_3m_avg_revenue,first_3m_avg_revenue,revenue_trend_pct,composite_score,performance_rank,performance_tier,intervention_action
OT033,Delhi,1,star,Standalone,Central,16,7889053.0,438281.0,794.0,552.0,18.0,45.7,31.5,4.28,7.2,56.5,13.2,38.0,5.8,3,9.4,408497.0,436421.0,-6.4,89.4,1,TIER 1 — Star Performer,LOW — Replicate Best Practices
OT011,Pune,2,star,Food Court,North,56,5663967.0,314665.0,687.0,459.0,21.6,45.6,31.5,4.27,7.0,56.4,12.6,37.6,6.7,1,9.8,279874.0,313212.0,-10.6,89.3,2,TIER 1 — Star Performer,LOW — Replicate Best Practices
OT080,Mumbai,1,star,Standalone,South,41,8394330.0,466352.0,824.0,566.0,19.6,45.6,31.5,4.28,6.7,56.4,13.3,37.7,5.8,3,8.9,433370.0,459621.0,-5.7,89.2,3,TIER 1 — Star Performer,LOW — Replicate Best Practices
OT027,Delhi,1,star,Standalone,East,30,7855132.0,436396.0,803.0,543.0,17.8,45.6,31.5,4.29,7.0,56.4,13.0,37.1,6.4,1,9.5,399428.0,437784.0,-8.8,89.2,3,TIER 1 — Star Performer,LOW — Replicate Best Practices
OT015,Mumbai,1,star,Standalone,North,22,8239529.0,457752.0,809.0,566.0,19.3,45.6,31.5,4.28,7.0,56.4,13.2,36.9,5.9,0,8.8,440636.0,468297.0,-5.9,89.0,5,TIER 1 — Star Performer,LOW — Replicate Best Practices
OT058,Pune,2,star,Standalone,North,17,5627286.0,312627.0,672.0,465.0,21.6,45.8,31.5,4.28,7.1,57.1,12.7,37.3,6.7,0,9.0,283537.0,313356.0,-9.5,88.9,6,TIER 1 — Star Performer,LOW — Replicate Best Practices
OT005,Pune,2,star,Food Court,East,5,5735829.0,318657.0,683.0,467.0,21.9,45.7,31.4,4.28,6.8,56.7,12.5,37.6,7.0,1,8.8,305797.0,317518.0,-3.7,88.8,7,TIER 1 — Star Performer,LOW — Replicate Best Practices
OT016,Mumbai,1,star,Standalone,East,16,8345925.0,463662.0,818.0,567.0,19.5,45.7,31.5,4.29,6.9,55.9,12.9,37.2,6.9,1,9.3,431532.0,444870.0,-3.0,88.8,7,TIER 1 — Star Performer,LOW — Replicate Best Practices
OT069,Pune,2,star,Highway,South,32,5614814.0,311934.0,678.0,460.0,21.5,45.7,31.5,4.28,7.1,57.2,12.3,37.9,7.6,3,9.4,297629.0,300960.0,-1.1,88.8,7,TIER 1 — Star Performer,LOW — Replicate Best Practices
OT038,Bangalore,1,star,Mall,West,42,7303070.0,405726.0,773.0,525.0,15.9,45.8,31.5,4.29,7.3,55.7,13.0,37.6,6.4,0,8.8,381669.0,385092.0,-0.9,88.7,10,TIER 1 — Star Performer,LOW — Replicate Best Practices
OT067,Bangalore,1,star,Highway,East,40,7241302.0,402295.0,761.0,528.0,15.5,45.6,31.5,4.29,6.7,56.2,13.3,37.8,7.2,0,9.1,360622.0,409406.0,-11.9,88.6,11,TIER 1 — Star Performer,LOW — Replicate Best Practices
OT006,Delhi,1,star,Highway,Central,40,7802551.0,433475.0,793.0,547.0,17.8,45.7,31.5,4.28,6.8,55.8,13.2,37.4,7.2,1,9.4,408359.0,428542.0,-4.7,88.6,11,TIER 1 — Star Performer,LOW — Replicate Best Practices
OT084,Mumbai,1,star,Food Court,Central,23,8262057.0,459003.0,809.0,567.0,19.4,45.8,31.5,4.28,7.2,56.5,12.6,37.1,7.6,0,9.4,420662.0,450698.0,-6.7,88.6,11,TIER 1 — Star Performer,LOW — Replicate Best Practices
OT057,Bangalore,1,star,Mall,Central,38,7243930.0,402441.0,768.0,524.0,15.6,45.7,31.5,4.28,6.9,56.3,12.9,37.7,6.6,0,8.2,361912.0,402018.0,-10.0,88.5,14,TIER 1 — Star Performer,LOW — Replicate Best Practices
OT059,Bangalore,1,star,Highway,Central,50,7302878.0,405715.0,773.0,524.0,15.8,45.7,31.5,4.28,7.0,56.4,13.1,37.7,8.6,0,9.4,362558.0,387067.0,-6.3,88.0,15,TIER 1 — Star Performer,LOW — Replicate Best Practices
